Fecha,Región,Latitud,Longitud,Temperatura,Humedad,Viento,Precipitación,Índice de sequía,Cobertura vegetal,Uso de suelo,Incendio
2023-07-01,Santa Cruz,-17.8429,-63.6531,21.6,58.0,4.6,23.4,Alto,Agrícola,Ganadero,No
2023-07-02,Santa Cruz,-16.5988,-62.3,33.8,40.9,6.3,12.4,Bajo,Pasto,Forestal,No
2023-07-03,Santa Cruz,-17.501,-63.5546,22.1,49.8,15.5,12.6,Alto,Agrícola,Agrícola,No
2023-07-04,Santa Cruz,-16.3519,-62.4707,24.8,38.6,5.6,21.6,Bajo,Bosque seco,Forestal,No
2023-07-05,Santa Cruz,-16.2057,-61.425,39.3,47.6,4.0,14.3,Bajo,Sabana,Ganadero,No
2023-07-06,Santa Cruz,-16.4978,-63.7411,25.0,71.3,10.7,24.6,Alto,Pasto,Urbano,No
2023-07-07,Santa Cruz,-16.2949,-62.2173,26.7,64.1,12.0,3.7,Moderado,Sabana,Urbano,No
2023-07-08,Santa Cruz,-17.8767,-62.102,22.4,29.7,9.4,18.5,Moderado,Agrícola,Forestal,No
2023-07-09,Santa Cruz,-16.2094,-62.4883,31.9,58.1,18.7,20.7,Bajo,Agrícola,Ganadero,No
2023-07-10,Santa Cruz,-16.3483,-63.4167,28.7,59.2,5.0,12.9,Moderado,Pasto,Forestal,No
2023-07-11,Santa Cruz,-16.0033,-61.6451,32.0,62.8,11.0,21.5,Alto,Pasto,Ganadero,No
2023-07-12,Santa Cruz,-16.2775,-61.6545,20.6,30.2,16.0,28.2,Moderado,Bosque seco,Urbano,No
2023-07-13,Santa Cruz,-17.4685,-60.0537,36.0,55.4,17.0,26.8,Moderado,Bosque seco,Agrícola,No
2023-07-14,Santa Cruz,-16.1441,-63.522,35.5,34.2,16.9,22.8,Moderado,Agrícola,Urbano,No
2023-07-15,Santa Cruz,-16.8932,-62.5521,26.2,72.2,8.3,10.8,Alto,Sabana,Forestal,No
2023-07-16,Santa Cruz,-17.8966,-62.3304,33.1,63.0,18.3,16.2,Alto,Pasto,Ganadero,No
2023-07-17,Santa Cruz,-16.0456,-60.6867,37.9,45.7,2.3,20.9,Bajo,Pasto,Forestal,No
2023-07-18,Santa Cruz,-16.9752,-62.9856,24.2,73.0,9.8,28.1,Moderado,Agrícola,Ganadero,No
2023-07-19,Santa Cruz,-17.2761,-62.3086,40.0,66.7,18.2,16.1,Alto,Pasto,Ganadero,No
2023-07-20,Santa Cruz,-17.0997,-60.3367,20.5,24.7,7.3,26.2,Bajo,Bosque seco,Forestal,No
2023-07-21,Santa Cruz,-17.8761,-63.1432,21.6,50.9,8.8,19.1,Bajo,Bosque seco,Forestal,No
2023-07-22,Santa Cruz,-16.4921,-61.3388,34.8,54.2,3.8,20.7,Bajo,Pasto,Ganadero,No
2023-07-23,Santa Cruz,-16.8716,-62.6535,34.9,70.1,9.5,16.5,Moderado,Agrícola,Agrícola,No
2023-07-24,Santa Cruz,-16.4197,-63.8895,29.7,39.3,10.9,22.1,Alto,Agrícola,Agrícola,No
